Unit,Date,Hour Ending,MWH
WEBBER_S_WSP1,20190106,200,0
WEBBER_S_WSP1,20190106,300,0
WEBBER_S_WSP1,20190106,400,0
WEBBER_S_WSP1,20190106,500,0
WEBBER_S_WSP1,20190106,600,0
WEBBER_S_WSP1,20190106,700,0
WEBBER_S_WSP1,20190106,800,0.33345
WEBBER_S_WSP1,20190106,900,1.9645
WEBBER_S_WSP1,20190106,1000,3.9024
WEBBER_S_WSP1,20190106,1100,4.265
WEBBER_S_WSP1,20190106,1200,6.484475
WEBBER_S_WSP1,20190106,1300,13.776175
WEBBER_S_WSP1,20190106,1400,16.1802
WEBBER_S_WSP1,20190106,1500,10.702225
WEBBER_S_WSP1,20190106,1600,17.36095
WEBBER_S_WSP1,20190106,1700,7.141875
WEBBER_S_WSP1,20190106,1800,1.4937
WEBBER_S_WSP1,20190106,1900,0
WEBBER_S_WSP1,20190106,2000,0
WEBBER_S_WSP1,20190106,2100,0
WEBBER_S_WSP1,20190106,2200,0
WEBBER_S_WSP1,20190106,2300,0
WEBBER_S_WSP1,20190106,2400,0
WEBBER_S_WSP1,20190107,100,0
WEBBER_S_WSP1,20190107,200,0
WEBBER_S_WSP1,20190107,300,0
WEBBER_S_WSP1,20190107,400,0
WEBBER_S_WSP1,20190107,500,0
WEBBER_S_WSP1,20190107,600,0
WEBBER_S_WSP1,20190107,700,0
WEBBER_S_WSP1,20190107,800,0.0107
WEBBER_S_WSP1,20190107,900,0.984725
WEBBER_S_WSP1,20190107,1000,3.311825
WEBBER_S_WSP1,20190107,1100,11.527325
WEBBER_S_WSP1,20190107,1200,10.49955
WEBBER_S_WSP1,20190107,1300,9.13
WEBBER_S_WSP1,20190107,1400,8.3963
WEBBER_S_WSP1,20190107,1500,12.854325
WEBBER_S_WSP1,20190107,1600,13.531875
WEBBER_S_WSP1,20190107,1700,6.983425
WEBBER_S_WSP1,20190107,1800,0.5171
WEBBER_S_WSP1,20190107,1900,0
WEBBER_S_WSP1,20190107,2000,0
WEBBER_S_WSP1,20190107,2100,0
WEBBER_S_WSP1,20190107,2200,0
WEBBER_S_WSP1,20190107,2300,0
WEBBER_S_WSP1,20190107,2400,0
WEBBER_S_WSP1,20190108,100,0
WEBBER_S_WSP1,20190108,200,0
